X,Y,OBJECTID,SH,RS,RP,siteRef,lane,type,percentHeavy,equipmentCurrent,description,region,acceptedDays,AADT5yearsAgo,AADT4yearsAgo,AADT3yearsAgo,AADT2yearsAgo,AADT1yearAgo,siteType
1758892.0731,5917169.864,314,1N,431,0.300000011920929,01N19431,Inc,Virtual,7.3,Virtual,SH1 St Marks Rd On Ramp to Market Rd Off Ramp SB - Virtual,02 - Auckland,,93948,93468,91980,92902,78972,Virtual
1760597.1759,5915571.3867,315,1N,431,2.66000008583069,01N19433,Inc,Virtual,6.3,Virtual,SH1 Green Lane East On Ramp to Tecoma St Off Ramp SB - Virtual,02 - Auckland,,80423,79645,78502,78647,67338,Virtual
1761048.1507,5915072.3185,316,1N,431,3.55999994277954,01N19434,Inc,Virtual,6.3,Virtual,SH1 Tecoma St On Ramp to Ellerslie Panmure Hwy Off Ramp SB - Virtual,02 - Auckland,,78551,78021,76929,77262,66156,Virtual
1765783.7024,5908152.0311,317,1N,431,12.3000001907349,01N19443,Inc,Virtual,6.5,Virtual,SH1 Highbrook Dr On Ramp to East Tamaki Rd Off Ramp SB - Virtual,02 - Auckland,,59678,59633,59619,60364,54847,Virtual
1768113.6766,5904069.6953,318,1N,448,0.300000011920929,01N19448,Inc,Virtual,6.5,Virtual,SH1 Southwestern Off Ramp to Redoubt Rd On Ramp SB - Virtual,02 - Auckland,,33694,32344,31885,32837,30843,Virtual
1777793.2472,5878631.3787,319,1N,461,14.3400001525879,01N19475,Inc,Virtual,12.1,Virtual,SH1 Nikau Rd On Ramp to Razorback Rd Off Ramp SB - Virtual,02 - Auckland,,21942,22922,23580,23976,21177,Virtual
1750196.4936,5956111.3207,320,1N,373,9.69999980926514,01N20383,Dec,Virtual,7.8,Virtual,SH1 Titfords Bridge to Waiwera On Ramp NB - Virtual ,02 - Auckland,,11443,12068,12258,12407,11010,Virtual
1749038.1211,5950345.7073,321,1N,373,15.8699998855591,01N20388,Dec,National,9.6,Telemetry,ALPURT -  Telemetry Site 95 NB Lanes ,02 - Auckland,12,9353,9972,10182,10433,9174,Telemetry
1748688.5393,5948307.2715,322,1N,373,16.6000003814697,01N20390,Dec,Virtual,7.8,Virtual,SH1 Orewa Interchange NB - Virtual ,02 - Auckland,,8819,9338,9521,9752,8534,Virtual
1748665.1689,5948014.2663,323,1N,373,18.4400005340576,01N20391,Dec,Continuous,6.6,ATMS (Dual Loop),SH1 Orewa Off Ramp to Millwater Off Ramp NB ,02 - Auckland,366,13148,13996,14299,14780,13010,Regional Continuous
1748582.7413,5946814.2732,324,1N,373,19.7000007629395,01N20393,Dec,Virtual,6,Virtual,SH1 Millwater Off Ramp to Silverdale On Ramp NB - Virtual,02 - Auckland,,16176,17664,18339,19097,17123,Virtual
1748678.2704,5945148.7281,325,1N,398,0.129999995231628,01N20398,Dec,Continuous,3,ATMS (Dual Loop),SH1 Silverdale Interchange NB (N11),02 - Auckland,342,13498,14576,14945,15550,13751,Regional Continuous
1748690.0192,5942433.1564,326,1N,398,2.90000009536743,01N20400,Dec,Virtual,7.8,Virtual,SH1 Silverdale to Dairy Flat SC On Ramp NB - Virtual,02 - Auckland,,29523,30669,30989,31142,27731,Virtual
1749051.695,5941615.0395,327,1N,398,3.90000009536743,01N20402,Dec,Virtual,7.8,Virtual,SH1 Dairy Flat SC Interchange NB - Virtual,02 - Auckland,,26887,28018,28324,28488,25560,Virtual
1750551.3022,5939806.4524,328,1N,398,6.28000020980835,01N20404,Dec,Virtual,7.8,Virtual,SH1 Dairy Flat SC Off Ramp to Oteha Valley Rd On Ramp NB - Virtual,02 - Auckland,,29523,30669,30989,31142,27731,Virtual
1753027.6699,5934712.2698,329,1N,398,12.3000001907349,01N20410,Dec,Continuous,4.7,ATMS (Dual Loop),SH1 Oteha Valley Rd Interchange NB (N10),02 - Auckland,358,24536,25387,25541,25598,22910,Regional Continuous
1753073.0921,5934507.3875,330,1N,398,12.5,01N20411,Dec,Virtual,6,Virtual,SH1 Oteha Valley Rd Off Ramp to Albany Bus Station Off Ramp NB - Virtual,02 - Auckland,,36722,37668,37614,38014,33210,Virtual
1753412.2024,5932995.2603,331,1N,398,14.0699996948242,01N20412,Dec,Continuous,6,ATMS (Dual Loop),SH1 Greville Rd Interchange NB (N9),02 - Auckland,366,33763,34573,34738,34982,30655,Regional Continuous
1753611.6834,5932271.7527,332,1N,398,14.8400001525879,01N20413,Dec,Virtual,6,Virtual,SH1 Greville Rd Off Ramp to Upper Harbour Hwy On Ramp NB - Virtual,02 - Auckland,,54643,55810,55155,55091,47852,Virtual
1754543.6607,5930787.8371,333,1N,414,0.720000028610229,01N20414,Dec,Continuous,5.8,ATMS (Dual Loop),SH1 Upper Harbour Hwy Interchange NB (N8),02 - Auckland,124,41243,41964,41316,41232,33916,Regional Continuous
1755112.9204,5930151.0769,334,1N,414,1.62000000476837,01N20415,Dec,Virtual,6.4,Virtual,SH1 Upper Harbour Hwy Off Ramp to Tristram Ave On Ramp NB - Virtual,02 - Auckland,,57319,57576,56332,55759,47293,Virtual
1755608.61,5928825.2276,335,1N,414,3.02999997138977,01N20417,Dec,Continuous,3.7,ATMS (Dual Loop),SH1 Tristram Ave Interchange NB (N7),02 - Auckland,361,49288,49517,48351,47992,39945,Regional Continuous
1755991.1671,5928052.0873,336,1N,414,3.90000009536743,01N20418,Dec,Virtual,3.7,Virtual,SH1 Tristram Ave Off Ramp to Northcote Rd On Ramp NB - Virtual,02 - Auckland,,65363,65451,64434,63868,53659,Virtual
1756446.1928,5927047.1134,337,1N,414,5,01N20419,Dec,Continuous,5.4,ATMS (Dual Loop),SH1 Northcote Rd Interchange NB (N6),02 - Auckland,366,54531,54549,53992,53545,44871,Regional Continuous
1757133.8403,5925727.6379,338,1N,414,6.48000001907349,01N20420,Dec,Continuous,7.6,ATMS (Dual Loop),SH1 Esmonde Rd Interchange NB (N5),02 - Auckland,366,55218,55347,54628,54775,45466,Regional Continuous
1756495.1149,5924642.4269,339,1N,414,7.26000022888184,01N20421,Dec,Virtual,6.2,Virtual,SH1 Esmonde Rd Off Ramp to Onewa Rd On Ramp NB - Virtual,02 - Auckland,,75790,75597,74784,75038,60633,Virtual
1756400.4115,5924501.2461,340,1N,414,7.98000001907349,01N20422,Dec,Virtual,6.2,Virtual,SH1 Onewa Rd Interchange NB - Virtual,02 - Auckland,,70492,70322,69736,70104,56075,Virtual
1756159.4211,5924016.7975,341,1N,414,8.52999973297119,01N20423,Dec,Virtual,6.2,Virtual,SH1 Onewa Rd Off Ramp to Stafford Rd Off Ramp NB - Virtual,02 - Auckland,,84066,84165,83994,83839,67754,Virtual
1756084.6851,5923399.6998,342,1N,414,9.14999961853027,01N20424,Dec,Virtual,8.7,Virtual,AUCKLAND HARBOUR BRIDGE - Right Clip-on ,02 - Auckland,,44966,45086,45121,45073,37413,Virtual
1755309.3525,5921628.2835,343,1N,414,11.1599998474121,01N20425,Dec,Continuous,6.2,ATMS (Dual Loop),SH1 Curran St On Ramp to Fanshawe St On Ramp NB (N2),02 - Auckland,353,78478,78817,78200,78300,63590,Regional Continuous
1756070.4867,5921035.8765,344,1N,414,12.5500001907349,01N20426,Dec,Continuous,6.1,ATMS (Dual Loop),SH1 Wellington St On Ramp to Fanshawe St On Ramp NB (VPT),02 - Auckland,218,61168,62246,62393,63397,53180,Regional Continuous
1756422.301,5920124.6647,345,1N,414,13.3500003814697,01N20427,Dec,Virtual,4.1,Virtual,SH1 Wellington St On Ramp to Port / SH16 On Ramp NB - Virtual,02 - Auckland,,54394,55354,55423,56730,47941,Virtual
1756773.0221,5919258.4434,346,1N,427,0.660000026226044,01N20428,Dec,Continuous,4.1,Virtual,SH1 Nelson St Off Ramp to Northwestern Off Ramp NB - Virtual,02 - Auckland,,52745,50475,48804,49371,42105,Virtual
1757431.021,5918737.8106,347,1N,427,1.10000002384186,01N20429,Dec,Continuous,4.1,ATMS (Dual Loop),SH1 Northwestern Off Ramp to Symonds/Wellesley/Port Off Ramp NB (S1),02 - Auckland,364,72879,70463,67422,68152,59970,Regional Continuous
1757851.1727,5918150.701,348,1N,427,2.29999995231628,01N20430,Dec,Virtual,5.4,Virtual,SH1 Khyber Pass Off Ramp to Gillies Ave On Ramp NB - Virtual,02 - Auckland,,102735,100858,97915,98320,85570,Virtual
1758708.6238,5917399.4795,349,1N,427,2.51999998092651,01N20431,Dec,Continuous,5.4,ATMS (Dual Loop),SH1 Gillies Ave On Ramp to Market Rd Off Ramp NB (S2),02 - Auckland,361,79979,79482,78102,78103,67827,Regional Continuous
1759620.7783,5916297.3847,350,1N,431,1.44000005722046,01N20432,Dec,Virtual,5.4,Virtual,SH1 Market Rd Off Ramp to Green Lane East On Ramp NB - Virtual,02 - Auckland,,84260,84398,82935,83098,71678,Virtual
1760021.3078,5916021.2053,351,1N,431,1.94000005722046,01N20433,Dec,Continuous,6.2,ATMS (Dual Loop),SH1 Green Lane East Interchange NB (S3),02 - Auckland,366,66407,65309,64255,64064,56216,Regional Continuous
1761293.4377,5914421.846,352,1N,431,4.26000022888184,01N20435,Dec,Virtual,6.2,Virtual,SH1 Ellerslie Panmure Hwy Interchange NB - Virtual ,02 - Auckland,,62534,62755,62181,62300,54564,Virtual
1761829.2422,5914004.9394,353,1N,431,4.71999979019165,01N20436,Dec,Virtual,6.2,Virtual,SH1 Ellerslie Panmure Hwy Off Ramp to Sth Eastern Hwy On Ramp NB - Virtual,02 - Auckland,,69180,70115,69964,70299,61476,Virtual
1763409.6173,5912777.1529,354,1N,431,6.82000017166138,01N20438,Dec,Virtual,6.5,Virtual,SH1 Sth Eastern Hwy On Ramp to Mt Wellington Hwy On Ramp NB - Virtual,02 - Auckland,,51844,52692,53119,53328,46936,Virtual
1763733.8559,5912650.8047,355,1N,431,7.19000005722046,01N20439,Dec,Continuous,6.5,ATMS (Dual Loop),SH1 Mt Wellington Hwy Interchange NB (S5),02 - Auckland,366,41978,42273,42878,43213,38562,Regional Continuous
1764731.3327,5911386.8408,356,1N,431,8.89999961853027,01N20440,Dec,National,6.8,Telemetry,PANAMA RD - Telemetry Site 79 - NB,02 - Auckland,356,58852,59818,60893,61392,55113,Telemetry
1765072.5713,5910252.5585,357,1N,431,10.0699996948242,01N20441,Dec,Virtual,6.8,Virtual,SH1 Princes St Interchange NB - Virtual,02 - Auckland,,54673,55520,56567,56847,50800,Virtual
1765298.3365,5909357.0353,358,1N,431,11,01N20442,Dec,Virtual,6.8,Virtual,SH1 Princes St Off Ramp to Highbrook Dr On Ramp NB - Virtual,02 - Auckland,,64464,64999,66172,66912,59493,Virtual
1765523.4298,5908800.4979,359,1N,431,11.6000003814697,01N20443,Dec,Virtual,6.8,Virtual,SH1 Highbrook Dr Interchange NB - Virtual,02 - Auckland,,53059,53303,54068,54438,49317,Virtual
1766108.7042,5907639.6863,360,1N,431,12.9399995803833,01N20444,Dec,Continuous,5.8,ATMS (Dual Loop),SH1 East Tamaki Rd Interchange NB (S6),02 - Auckland,365,50743,51080,51730,52111,47268,Regional Continuous
1767275.9673,5906478.0125,361,1N,431,14.5600004196167,01N20445,Dec,Virtual,6.8,Virtual,SH1 East Tamaki Rd Off Ramp to Te Irirangi Dr On Ramp NB - Virtual,02 - Auckland,,58774,59270,59755,60129,55117,Virtual
1767780.0146,5904921.0297,362,1N,431,16.2000007629395,01N20447,Dec,Virtual,6.8,Virtual,SH1 Te Irirangi Dr On Ramp to Redoubt Rd On Ramp NB - Virtual,02 - Auckland,,49980,50154,50206,50762,46584,Virtual
1767972.1096,5904360.4143,363,1N,431,16.6499996185303,01N20448,Dec,Continuous,5.9,ATMS (Dual Loop),SH1 Redoubt Rd On Ramp to Southwestern On Ramp NB,02 - Auckland,365,42990,42756,42373,42897,39565,Regional Continuous
1768196.2383,5903781.8605,364,1N,448,0.600000023841858,01N20449,Dec,Virtual,6.8,Virtual,SH1 Southwestern On Ramp to Gt South Rd / Southwestern Off Ramp NB - Virtual,02 - Auckland,,34674,34384,33766,34438,32178,Virtual
1768794.1235,5902814.0369,365,1N,448,1.74000000953674,01N20450,Dec,Continuous,6.8,Virtual,SH1 Gt South Rd / Southwestern Off Ramp to Hill Rd On Ramp NB - Virtual,02 - Auckland,,63432,64080,63454,66060,61064,Virtual
1769905.0759,5900780.2056,366,1N,448,4.15000009536743,01N20452,Dec,Virtual,11,Virtual,SH1 Hill Rd On Ramp to Takanini On Ramp NB - Virtual,02 - Auckland,,48540,47507,46276,49126,46485,Virtual
1769865.9146,5899315.126,367,1N,448,5.67000007629395,01N20454,Dec,Continuous,9.2,ATMS (Dual Loop),SH1 Takanini Interchange NB (S8),02 - Auckland,,36713,35930,34954,37313,34988,Regional Continuous
1770726.8148,5897295.7764,368,1N,448,7.82999992370605,01N20456,Dec,Virtual,11,Virtual,SH1 Takanini Off Ramp to Papakura On Ramp NB - Virtual,02 - Auckland,,43484,42246,41040,43333,41173,Virtual
1771533.128,5895054.2976,369,1N,448,10.1300001144409,01N20458,Dec,Continuous,10.3,ATMS (Dual Loop),SH1 Papakura Interchange NB,02 - Auckland,366,30635,29740,28184,29970,28272,Regional Continuous
1772054.1548,5893999.2765,370,1N,448,11.3999996185303,01N20459,Dec,National,11,Telemetry,Rosehill - Telemetry Site 7 - NB (Park Estate),02 - Auckland,365,32772,32529,30873,33358,31760,Telemetry
1772930.0338,5891448.8851,371,1N,461,0,01N20462,Dec,Virtual,11,Virtual,SH1 Drury Interchange NB - Virtual,02 - Auckland,,22891,22877,22425,23428,20615,Virtual
1773945.6516,5889556.7507,372,1N,461,2.24000000953674,01N20463,Dec,National,12.6,Telemetry,DRURY - Telemetry Site 48 - Off Ramp to Ramarama On Ramp NB,02 - Auckland,11,25104,25556,25537,26355,22672,Telemetry
1774948.7887,5887384.5589,373,1N,461,4.61999988555908,01N20465,Dec,Virtual,12.1,Virtual,SH1 Ramarama Interchange NB - Virtual,02 - Auckland,,23372,23982,23981,24523,20717,Virtual
1776193.7949,5884747.7702,374,1N,461,7.53999996185303,01N20468,Dec,Virtual,12.1,Virtual,SH1 Ramarama Off Ramp to Mill Rd On Ramp NB - Virtual,02 - Auckland,,24117,24902,24970,25343,21641,Virtual
1775974.0263,5881935.2098,375,1N,461,10.25,01N20471,Dec,Virtual,12.1,Virtual,SH1 Mill Rd Interchange NB - Virtual,02 - Auckland,,17700,18653,18576,18973,16457,Virtual
1776536.6917,5881054.2045,376,1N,461,11.5100002288818,01N20472,Dec,Virtual,12.1,Virtual,SH1 Mill Rd Off Ramp to Beaver Rd On Ramp NB - Virtual,02 - Auckland,,22718,23957,23815,24395,21551,Virtual
1776882.8537,5880437.81,377,1N,461,12.2399997711182,01N20473,Dec,Virtual,12.1,Virtual,SH1 Beaver Rd Interchange NB - Virtual,02 - Auckland,,22371,23610,23420,24014,21239,Virtual
1777150.7237,5879976.2778,378,1N,461,12.789999961853,01N20474,Dec,National,12.1,Telemetry,BOMBAY - Telemetry Site 72 - NB,02 - Auckland,365,20532,22156,23763,24372,21530,Telemetry
1777469.8659,5879368.8297,379,1N,461,13.4799995422363,01N20475,Dec,Virtual,12.1,Virtual,SH1 Nikau Rd Interchange NB - Virtual,02 - Auckland,,21760,22992,22904,23499,20689,Virtual
1778472.4258,5878016.588,380,1N,461,15.2600002288818,01N20476,Dec,Virtual,12.1,Virtual,SH1 Razorback Rd On Ramp to SH2 On Ramp NB - Virtual,02 - Auckland,,20623,21616,21477,21932,19229,Virtual
1778808.951,5877744.188,381,1N,461,15.6199998855591,01N20477,Dec,Continuous,21.7,ATMS (Dual Loop),SH1 SH2 Interchange NB,02 - Auckland,366,12988,13605,13883,14356,12954,Regional Continuous
1779130.6943,5877352.7512,382,1N,461,16.2000007629395,01N20478,Dec,Virtual,0,Virtual,SH1 Region 2/3 Boundary NB - Virtual,02 - Auckland,,13524,14230,14553,15039,14217,Virtual
1757431.021,5918737.8106,383,1N,427,1.70000004768372,01N28429,Dec,Continuous,4.1,Virtual,SH1 Symonds/Wellesley/Port Off Ramp - Khyber Pass Off Ramp NB - Virtual,02 - Auckland,,92032,89701,86484,87285,76045,Virtual
1753134.5371,5933810.5935,384,1N,398,13.1999998092651,01N29411,Dec,Virtual,6,Virtual,SH1 Albany Bus Station Off Ramp to Greville Rd On Ramp NB - Virtual,02 - Auckland,,37036,38005,37944,38511,33659,Virtual
1757134.3547,5925964.6186,385,1N,414,5.59999990463257,01N29419,Dec,Virtual,6.4,Virtual,SH1 Northcote Rd Off Ramp to Esmonde/Akoranga On Ramp NB - Virtual,02 - Auckland,,61850,62192,61568,61423,51466,Virtual
1756083.799,5923834.6596,386,1N,414,9,01N29423,Dec,Virtual,6.6,Virtual,SH1 Stafford Rd Off Ramp to Auckland Harbour Bridge NB - Virtual,02 - Auckland,,86751,86988,86692,86600,69939,Virtual
1755995.3385,5923082.5461,387,1N,414,9.5,01N29424,Dec,Continuous,6.6,Dual Loop,Auckland Harbour Bridge - Classifier Site No 1 - NB,02 - Auckland,269,86751,86988,86692,86600,69939,Regional Continuous
1756430.3003,5920124.6809,388,1N,427,0.200000002980232,01N29427,Dec,Virtual,4.1,Virtual,SH1 Port / SH16 On Ramp to Nelson St Off Ramp NB - Virtual,02 - Auckland,,36163,33834,33874,34169,28969,Virtual
1760806.5741,5915366.818,389,1N,431,3.16000008583069,01N29433,Dec,Virtual,6.2,Virtual,SH1 Green Lane East Off Ramp - Ellerslie Panmure Hwy On Ramp NB - Virtual,02 - Auckland,,74376,75202,74494,74698,65157,Virtual
1765820.8827,5908060.107,390,1N,431,12.3999996185303,01N29443,Dec,Virtual,6.8,Virtual,SH1 Highbrook Dr Off Ramp to East Tamaki Rd On Ramp NB - Virtual,02 - Auckland,,60943,61605,62350,63016,57559,Virtual
1777793.2472,5878631.3787,391,1N,461,14.3400001525879,01N29475,Dec,Virtual,12.1,Virtual,SH1 Nikau Rd Off Ramp to Razorback Rd On Ramp NB - Virtual,02 - Auckland,,21907,23154,23080,23686,20866,Virtual
1748857.2693,5949356.4715,392,1N,373,16.8999996185303,01N30390,Ramp,Non-Continuous,2.2,Dual Loop,SH1 Orewa On Ramp SB ,02 - Auckland,49,4738,4733,4872,5147,4656,Regional Non-Continuous
1748660.4109,5947901.2734,393,1N,373,18.6299991607666,01N30392,Ramp,Continuous,4.6,ATMS (Dual Loop),SH1 Millwater On Ramp SB ,02 - Auckland,365,3246,3741,4017,4204,4336,Regional Continuous
1748693.2575,5945153.7592,394,1N,398,0.239999994635582,01N30398,Ramp,Continuous,2.3,ATMS (Dual Loop),SH1 Silverdale On Ramp SB (N11),02 - Auckland,366,15559,16131,16183,15889,14186,Regional Continuous
1753057.6559,5934717.3316,395,1N,398,12.3299999237061,01N30410,Ramp,Continuous,5.7,ATMS (Dual Loop),SH1 Oteha Valley Rd On Ramp SB (N10),02 - Auckland,357,10977,10893,10357,10517,8710,Regional Continuous
1753058.7503,5934192.3931,396,1N,398,12.8199996948242,01N30411,Ramp,Non-Continuous,82.6,Dual Loop,SH1 McClymonts Rd Bus On Ramp SB,02 - Auckland,,311,341,367,503,432,Regional Non-Continuous
1753454.2744,5932958.3517,397,1N,398,14.1000003814697,01N30412,Ramp,Continuous,8.7,ATMS (Dual Loop),SH1 Greville Rd On Ramp SB (N9),02 - Auckland,161,16943,16747,15936,15952,14979,Regional Continuous
1754573.5933,5930818.8958,398,1N,414,0.689999997615814,01N30414,Ramp,Continuous,2.2,ATMS (Dual Loop),SH1 Upper Harbour Hwy On Ramp SB (N8),02 - Auckland,137,15400,14922,14700,14515,12466,Regional Continuous
1755669.7647,5928747.3609,399,1N,414,3.05999994277954,01N30417,Ramp,Continuous,2.4,ATMS (Dual Loop),SH1 Tristram Ave On Ramp SB (N7),02 - Auckland,366,14549,13871,14248,14158,12169,Regional Continuous
1756523.3397,5926972.2784,400,1N,414,5.09999990463257,01N30419,Ramp,Continuous,2.2,ATMS (Dual Loop),SH1 Northcote Rd On Ramp SB (N6),02 - Auckland,365,9347,9693,9512,9867,7948,Regional Continuous
1757150.8756,5925709.6743,401,1N,414,6.61999988555908,01N30420,Ramp,Continuous,4.3,ATMS (Dual Loop),SH1 Esmonde Rd On Ramp SB (N5),02 - Auckland,366,14512,14573,14557,14279,11956,Regional Continuous
1756263.3485,5924537.9632,402,1N,414,8.27000045776367,01N30422,Ramp,Non-Continuous,3.7,Dual Loop,SH1 Onewa Rd On Ramp SB,02 - Auckland,43,18170,18228,18483,18302,14247,Regional Non-Continuous
1756616.2784,5919633.0968,403,1N,427,0.109999999403954,01N30427,Ramp,Non-Continuous,2.4,Dual Loop,SH1 Hobson St On Ramp SB,02 - Auckland,57,19268,18603,19086,18861,14911,Regional Non-Continuous
1756759.6418,5919447.4012,404,1N,427,0.629999995231628,01N30428,Ramp,Continuous,5.2,SCATS,SH1 Northwestern On Ramp SB (Link 01640003) ,02 - Auckland,344,21826,21785,17602,17960,16159,Regional Continuous
1757154.1883,5919161.2197,405,1N,427,1.08000004291534,01N30429,Ramp,Continuous,5.8,ATMS (Dual Loop),SH1 Symonds St On Ramp SB (S1),02 - Auckland,351,6852,6683,6342,6096,4171,Regional Continuous
1757625.6787,5918404.2281,406,1N,427,1.99000000953674,01N30430,Ramp,Continuous,1.4,Dual Loop,SH1 Khyber Pass On Ramp SB,02 - Auckland,283,11203,11385,11823,11589,9900,Regional Continuous
1758793.8087,5917304.6573,407,1N,431,0.0799999982118607,01N30431,Ramp,Non-Continuous,0.6,Dual Loop,SH1 St Marks Rd On Ramp SB,02 - Auckland,59,5835,5972,5865,6284,5448,Regional Non-Continuous
1760314.7063,5915813.8061,408,1N,431,2.3199999332428,01N30433,Ramp,Non-Continuous,2.1,Dual Loop,SH1 Green Lane East On Ramp SB,02 - Auckland,50,10043,9690,10016,9923,8508,Regional Non-Continuous
1760931.7369,5915282.0735,409,1N,431,3.16000008583069,01N30434,Ramp,Non-Continuous,1.1,Dual Loop,SH1 Tecoma St On Ramp SB,02 - Auckland,65,2106,2230,2118,2454,2161,Regional Non-Continuous
1761556.9378,5914164.3868,410,1N,431,4.42000007629395,01N30435,Ramp,Continuous,4.1,Dual Loop,SH1 Ellerslie Panmure Hwy On Ramp SB,02 - Auckland,82,7541,7561,7860,8022,6957,Regional Continuous
1764290.4695,5912331.9271,411,1N,431,7.78999996185303,01N30439,Ramp,Non-Continuous,7,Dual Loop,SH1 Mt Wellington Hwy On Ramp SB,02 - Auckland,28,18284,18788,18839,18784,17244,Regional Non-Continuous
1765096.7348,5910169.6093,412,1N,431,10.1899995803833,01N30441,Ramp,Non-Continuous,4.1,Dual Loop,SH1 Princes St On Ramp SB,02 - Auckland,55,6985,7556,7778,8119,7505,Regional Non-Continuous
1765588.6765,5908674.6306,413,1N,431,11.8000001907349,01N30443,Ramp,Non-Continuous,11,Dual Loop,SH1 Highbrook Dr On Ramp SB,02 - Auckland,70,5968,5836,6133,6417,6568,Regional Non-Continuous
1766413.2045,5907382.2933,414,1N,431,13.3199996948242,01N30444,Ramp,Non-Continuous,4.1,Dual Loop,SH1 East Tamaki Rd On Ramp SB,02 - Auckland,63,8249,8304,8485,9048,8631,Regional Non-Continuous
1768146.5727,5904122.7591,415,1N,448,0.519999980926514,01N30448,Ramp,Non-Continuous,2.9,Dual Loop,SH1 Redoubt Rd On Ramp SB,02 - Auckland,39,8181,8198,8487,8696,8683,Regional Non-Continuous
1768411.3648,5903716.2821,416,1N,448,0.930000007152557,01N30449,Ramp,Continuous,10.9,Dual Loop,SH1 Southwestern On Ramp SB (Link 02020000),02 - Auckland,363,18219,20327,22962,23738,22921,Regional Continuous
1769900.4153,5899056.1919,417,1N,448,5.84000015258789,01N30454,Ramp,Continuous,9.6,Dual Loop,SH1 Takanini On Ramp SB,02 - Auckland,,7832,9237,8974,6803,6780,Regional Continuous
1771481.6618,5895297.2028,418,1N,448,9.97999954223633,01N30458,Ramp,Continuous,9.2,ATMS (Dual Loop),SH1 Papakura On Ramp SB,02 - Auckland,366,3396,3305,3572,3658,3347,Regional Continuous
1772433.175,5893468.9899,419,1N,448,12.2200002670288,01N30460,Ramp,Virtual,10,Virtual,SH1 Service Centre On Ramp SB - Virtual,02 - Auckland,,3837,3916,4021,4042,3028,Virtual
1772955.2528,5891333.9297,420,1N,461,0.170000001788139,01N30462,Ramp,Non-Continuous,7.8,Dual Loop,SH1 Drury On Ramp SB,02 - Auckland,70,2491,2724,3051,3122,2927,Regional Non-Continuous
1775057.19,5887173.7538,421,1N,461,4.88000011444092,01N30465,Ramp,Non-Continuous,10.5,Dual Loop,SH1 Ramarama On Ramp SB,02 - Auckland,56,545,566,613,575,563,Regional Non-Continuous
1776295.9131,5881466.7813,422,1N,461,11.0299997329712,01N30471,Ramp,Non-Continuous,6.6,Dual Loop,SH1 Mill Rd On Ramp SB,02 - Auckland,55,4453,4817,5194,5343,5916,Regional Non-Continuous
1776928.8137,5880460.8965,423,1N,461,12.2799997329712,01N30473,Ramp,Non-Continuous,2.9,Dual Loop,SH1 Beaver Rd On Ramp SB,02 - Auckland,54,30,34,28,32,70,Regional Non-Continuous
1777529.0412,5879275.9331,424,1N,461,13.6199998855591,01N30475,Ramp,Non-Continuous,17.2,Dual Loop,SH1 Nikau Rd On Ramp SB,02 - Auckland,64,159,187,183,204,437,Regional Non-Continuous
1779035.3585,5877531.5891,425,1N,461,15.9300003051758,01N30477,Ramp,Continuous,17.2,Dual Loop,SH1 SH2 On Ramp SB,02 - Auckland,51,569,623,673,650,1687,Regional Continuous
1757636.1661,5919649.1541,426,1N,427,1.32000005245209,01N36429,Ramp,Non-Continuous,13.3,Dual Loop,SH1 Port On Ramp SB (Link 01660002),02 - Auckland,122,9108,9129,8879,8793,7694,Regional Non-Continuous
1757650.167,5919648.1824,427,1N,427,1.32000005245209,01N37429,Ramp,Non-Continuous,1.9,Dual Loop,SH1 Grafton Rd On Ramp SB,02 - Auckland,36,3409,3403,3246,3274,2382,Regional Non-Continuous
1757147.0481,5926113.6318,428,1N,414,6.19000005722046,01N38420,Ramp,Continuous,95,Dual Loop,SH1 Akoranga Bus Station On Ramp SB,02 - Auckland,365,441,481,508,579,460,Regional Continuous
1757314.2459,5919126.5451,429,1N,427,1.32000005245209,01N38429,Ramp,Virtual,8.5,Virtual,SH1 Grafton/Port On Ramp SB - Virtual,02 - Auckland,,12517,12531,12125,12067,10012,Virtual
1754166.5377,5931348.9995,430,1N,414,0.0799999982118607,01N39414,Ramp,Virtual,93.3,Virtual,SH1 Constellation Bus Station On Ramp SB,02 - Auckland,,311,341,359,503,432,Virtual
1757199.6398,5925822.7644,431,1N,414,6.71000003814697,01N39420,Ramp,Non-Continuous,72.5,Dual Loop,SH1 Esmonde Rd Buslane On Ramp SB,02 - Auckland,,152,222,237,240,240,Regional Non-Continuous
1756235.9123,5924262.9316,432,1N,414,8.27000045776367,01N39422,Ramp,Non-Continuous,93.4,Dual Loop,SH1 Northern Busway On Ramp SB,02 - Auckland,47,578,646,691,703,542,Regional Non-Continuous
1748819.258,5949364.3888,433,1N,373,16.8999996185303,01N40390,Ramp,Non-Continuous,1.9,Dual Loop,SH1 Orewa Off Ramp NB ,02 - Auckland,44,4329,4658,4778,5028,4476,Regional Non-Continuous
1748653.1536,5948022.2394,434,1N,373,18.6299991607666,01N40392,Ramp,Continuous,4.6,ATMS (Dual Loop),SH1 Millwater Off Ramp NB ,02 - Auckland,365,3028,3668,4040,4317,4113,Regional Continuous
1748658.2882,5945141.6867,435,1N,398,0.319999992847443,01N40398,Ramp,Continuous,2.6,ATMS (Dual Loop),SH1 Silverdale Off Ramp NB (N11),02 - Auckland,366,16025,16093,16044,15592,13980,Regional Continuous
